word,jyutping
整裝待發,zing2 zong1 doi6 faat3
敷衍塞責,fu1 hin2 sak1 zaak3
數不勝數,sou3 bat1 sing1 sou3
文質彬彬,man4 zat1 ban1 ban1
新陳代謝,san1 can4 doi6 ze6
斷斷續續,tyun5 tyun5 zuk6 zuk6
旁若無人,pong4 joek6 mou4 jan4
旁門左道,pong4 mun4 zo2 dou6
旗開得勝,kei4 hoi1 dak1 sing3
旗鼓相當,kei4 gu2 soeng1 dong1
日積月累,jat6 zik1 jyut6 leoi6
明日黃花,ming4 jat6 wong4 faa1
明目張膽,ming4 muk6 zoeng1 daam2
易如反掌,ji6 jyu4 faan2 zoeng2
春光明媚,ceon1 gwong1 ming4 mei6
春暖花開,ceon1 nyun5 faa1 hoi1
時移勢易,si4 ji4 sai3 jik6
時過境遷,si4 gwo3 ging2 cin1
普天同慶,pou2 tin1 tung4 hing3
晴天霹靂,cing4 tin1 pik1 lik1
智勇雙全,zi3 jung5 soeng1 cyun4
暢所欲言,coeng3 so2 juk6 jin4
暴跳如雷,bou6 tiu3 jyu4 leoi4
曇花一現,taam4 faa1 jat1 jin6
曲徑通幽,kuk1 ging3 tung1 jau1
曲終人散,kuk1 zung1 jan4 saan3
曾幾何時,cang4 gei2 ho4 si4
有利可圖,jau5 lei6 ho2 tou4
有勇無謀,jau5 jung5 mou4 mau4
有口難言,jau5 hau2 naan4 jin4
有恃無恐,jau5 ci5 mou4 hung2
有教無類,jau5 gaau3 mou4 leoi6
有板有眼,jau5 baan2 jau5 ngaan5
有機可乘,jau5 gei1 ho2 sing4
有求必應,jau5 kau4 bit1 jing3
有生之年,jau5 sang1 zi1 nin4
有聲有色,jau5 sing1 jau5 sik1
望塵莫及,mong6 can4 mok6 kap6
望子成龍,mong6 zi2 sing4 lung4
望而卻步,mong6 ji4 koek3 bou6
望而生畏,mong6 ji4 sang1 wai3
朝氣蓬勃,ziu1 hei3 pung4 but6
未老先衰,mei6 lou5 sin1 ceoi1
未雨綢繆,mei6 jyu5 cau4 mau4
本末倒置,bun2 mut6 dou2 zi3
束手就擒,cuk1 sau2 zau6 kam4
杯水車薪,bui1 seoi2 ce1 san1
東山再起,dung1 saan1 zoi3 hei2
東張西望,dung1 zoeng1 sai1 mong6
東施效顰,dung1 si1 haau6 pan4
